SYMBOL,NAME OF COMPANY,SERIES,FACE VALUE,PAID UP VALUE,MKT LOT,IP RATE,DATE OF LISTING,DATE OF ALLOTMENT,REDEMPTION DATE,REDEMPTION AMT,CONVERSION DATE,CONVERSION AMT,INTEREST PAYMENT DT
Indian Railway Finance Corporation Limited,N0,100000.0,51780.0,1,,03-DEC-2025,,01-DEC-2035,,,,,INE053F08536
Motilal Oswal Financial Services Limited,N3,1000.0,1000.0,1,,13-MAY-2024,,09-MAY-2027,,,,,INE338I07099
National Highways Infra Trust,N0,100000.0,51058.0,1,0.0,01-FEB-2025,,30-JAN-2034,,,,,INE0H7R07066
National Highways Infra Trust,N0,100000.0,47382.0,1,0.0,01-FEB-2025,,30-JAN-2035,,,,,INE0H7R07058
REC Limited,N0,100000.0,54250.0,1,,07-OCT-2024,,03-NOV-2034,,,,,INE020B08FJ3
Sammaan Capital Limited,YW,1000.0,1000.0,1,,28-MAR-2024,,26-MAR-2027,,,,,INE148I07SK0
IIFL Samasta Finance Limited,NC,1000.0,1000.0,1,10.03,25-JUN-2024,,21-JUN-2029,,,,,INE413U07301
IIFL Samasta Finance Limited,N4,1000.0,1000.0,1,10.03,26-DEC-2023,,21-DEC-2028,,,,,INE413U07269
Sammaan Capital Limited,Z4,1000.0,1000.0,1,10.03,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SX3
Sammaan Capital Limited,NV,714.28,714.28,1,10.03,13-NOV-2023,,09-NOV-2030,,,,,INE148I07QX7
Sammaan Capital Limited,ZQ,1000.0,1000.0,1,10.03,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TW3
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,27-SEP-2024,,25-SEP-2031,,,,,INE148I07UR1
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,31-DEC-2024,,27-DEC-2031,,,,,INE148I07VA5
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WM8
Sammaan Finserve Limited,NX,400.0,400.0,1,10.5,27-APR-2023,,25-APR-2028,,,,,INE244L07556
Profectus Capital Private Limited,N0,62500.0,62500.0,1,10.16,24-JUL-2024,,16-JUL-2027,,,,,INE389Z07054
ECL Finance Limited,NR,1000.0,1000.0,1,10.15,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7014
